id,domain,text,label,discourse_subtype,discourse_tree_json,unsupported_nucleus,evidence_density,contrast_density,closure_strength,weak_to_strong_inference,support_balance,defeater_presence,nucleus_pressure
dcw_0891,travel planning,"The claim is supported by witness statements. However, permit requirement remains possible, so the conclusion is qualified.",grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.175,0.836,0.294,0.048,0.395,0.816,0.559,0.279
dcw_0683,scientific explanation,The explanation preserves the contrast between causal mechanism and abductive explanation. The final conclusion follows only after weighing both.,grounded,evidence_integration,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.257,1,0.343,0.18,0.355,0.634,0.515,0.359
dcw_0854,consumer dispute,The explanation preserves the contrast between settlement eligibility and service non-performance. The final conclusion follows only after weighing both.,grounded,defeater_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.057,0.863,0.523,0.013,0.063,0.624,0.893,0.348
dcw_0402,scientific explanation,"causal mechanism is asserted as the central conclusion, while the available evidence is only a superficial similarity.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.795,0.393,0.289,0.858,0.651,0.377,0.084,0.593
dcw_0802,technical troubleshooting,"observed symptoms provides evidence, while a policy exception acts as a defeater. The conclusion is limited rather than absolute.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.089,0.689,0.423,0.549,0.372,0.718,0.644,0.311
dcw_0297,medical diagnosis,"Although an alternative explanation could be relevant, it is ignored. Since a weak correlation appears, a viral infection must be true.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.986,0.261,0.242,0.86,0.577,0.424,0.03,0.775
dcw_0054,financial reasoning,"an unverified assumption suggests a possibility, so the explanation concludes high-risk investment without considering alternatives.",hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.677,0.134,0.072,1.0,0.745,0.082,0.189,0.705
dcw_0775,financial reasoning,"retrieved documents suggests expense misclassification, but a known confounder weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.187,0.853,0.466,0.373,0.317,0.59,0.736,0.013
dcw_0763,scientific explanation,"The claim is supported by log messages. However, measurement bias remains possible, so the conclusion is qualified.",grounded,defeater_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.179,0.738,0.409,0.438,0.082,0.965,0.807,0.126
dcw_0770,consumer dispute,"Because log messages and transaction records both support misrepresentation, and the alternative settlement eligibility is considered, the conclusion is cautiously accepted.",grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.126,0.619,0.616,0.419,0.003,0.967,0.286,0.225
dcw_0897,scientific explanation,"The claim is supported by policy text. However, measurement bias remains possible, so the conclusion is qualified.",grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.027,0.497,0.83,0.08,0.289,0.653,0.506,0.255
dcw_0281,legal complaint,"an unverified assumption suggests a possibility, so the explanation concludes valid small-claims escalation without considering alternatives.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.774,0.095,0.245,0.718,0.927,0.154,0.022,0.609
dcw_0323,consumer dispute,"Although a policy exception could be relevant, it is ignored. Since an unverified assumption appears, misrepresentation must be true.",hallucinated,weak_evidence_amplification,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.637,0.015,0.268,0.557,0.635,0.227,0.26,0.995
dcw_0212,financial reasoning,"Although a timing inconsistency could be relevant, it is ignored. Since a superficial similarity appears, income stability must be true.",hallucinated,weak_evidence_amplification,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.946,0.013,0.067,0.925,0.918,0.137,0.16,0.963
dcw_0335,consumer dispute,a superficial similarity is mentioned. This clearly proves service non-performance. Therefore the conclusion is certain.,hallucinated,premature_closure,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.561,0.281,0.041,0.932,0.9,0.549,0.145,0.7
dcw_0372,medical diagnosis,"Although a policy exception could be relevant, it is ignored. Since a vague symptom appears, a viral infection must be true.",hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.842,0.006,0.221,0.957,0.91,0.054,0.214,0.926
dcw_0034,travel planning,one anecdotal report is mentioned. This clearly proves permit requirement. Therefore the conclusion is certain.,hallucinated,premature_closure,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.816,0.298,0.029,0.743,0.933,0.1,0.091,0.697
dcw_0256,consumer dispute,"Although a known confounder could be relevant, it is ignored. Since a single ambiguous clue appears, misrepresentation must be true.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.805,0.363,0.336,0.626,0.657,0.432,0.249,0.838
dcw_0309,financial reasoning,a superficial similarity is mentioned. This clearly proves portfolio concentration risk. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.839,0.017,0.283,0.722,0.89,0.507,0.041,0.946
dcw_0767,technical troubleshooting,"Because log messages and log messages both support Nginx routing error, and the alternative SSL certificate problem is considered, the conclusion is cautiously accepted.",grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.176,0.987,0.865,0.268,0.144,0.986,0.556,0.09
dcw_0704,scientific explanation,The explanation preserves the contrast between experimental artifact and measurement bias. The final conclusion follows only after weighing both.,grounded,evidence_integration,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.092,1,0.842,0.182,0.097,0.853,0.861,0.02
dcw_0648,consumer dispute,"policy text provides evidence, while a timing inconsistency acts as a defeater. The conclusion is limited rather than absolute.",grounded,evidence_integration,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.266,0.767,0.437,0.44,0.007,0.473,0.434,0.326
dcw_0754,technical troubleshooting,The explanation preserves the contrast between Nginx routing error and SSL certificate problem. The final conclusion follows only after weighing both.,grounded,contrast_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.098,0.782,0.893,0.438,0.438,0.725,0.322,0.332
dcw_0059,travel planning,"permit requirement is asserted as the central conclusion, while the available evidence is only a vague symptom.",hallucinated,weak_evidence_amplification,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.658,0.411,0.05,0.758,0.627,0.14,0.003,0.912
dcw_0696,consumer dispute,"The claim is supported by observed symptoms. However, settlement eligibility remains possible, so the conclusion is qualified.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.321,0.859,0.395,0.041,0.071,0.634,0.545,0.405
dcw_0984,consumer dispute,"transaction records suggests misrepresentation, but a policy exception weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.289,0.915,0.53,0.057,0.432,0.589,0.55,0.022
dcw_0079,technical troubleshooting,"Although a policy exception could be relevant, it is ignored. Since a superficial similarity appears, OAuth token failure must be true.",hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.79,0.104,0.196,0.851,0.677,0.218,0.091,0.746
dcw_0376,scientific explanation,one anecdotal report is mentioned. This clearly proves measurement bias. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.631,0.225,0.333,0.832,0.891,0.191,0.001,0.656
dcw_0040,scientific explanation,The reasoning jumps from an unverified assumption to measurement bias. No competing explanation is discussed.,hallucinated,premature_closure,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.71,0.116,0.098,0.818,0.94,0.306,0.181,0.636
dcw_0801,scientific explanation,The explanation preserves the contrast between abductive explanation and measurement bias. The final conclusion follows only after weighing both.,grounded,qualified_conclusion,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.023,0.508,0.75,0.463,0.33,0.948,0.666,0.181
dcw_0715,legal complaint,"The claim is supported by log messages. However, valid small-claims escalation remains possible, so the conclusion is qualified.",grounded,qualified_conclusion,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.11,0.901,0.814,0.321,0.138,0.793,0.512,0.14
dcw_0779,medical diagnosis,"Because retrieved documents and policy text both support appendicitis, and the alternative a viral infection is considered, the conclusion is cautiously accepted.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.06,0.921,0.63,0.422,0.24,0.809,0.38,0.452
dcw_0832,technical troubleshooting,"observed symptoms provides evidence, while an alternative explanation acts as a defeater. The conclusion is limited rather than absolute.",grounded,contrast_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.115,0.539,0.606,0.175,0.05,0.486,0.587,0.01
dcw_0218,scientific explanation,"experimental artifact is asserted as the central conclusion, while the available evidence is only a superficial similarity.",hallucinated,unsupported_nucleus_promotion,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.903,0.408,0.235,0.778,0.923,0.462,0.307,0.632
dcw_0239,financial reasoning,"Although a known confounder could be relevant, it is ignored. Since one anecdotal report appears, portfolio concentration risk must be true.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.917,0.047,0.23,0.823,0.661,0.485,0.147,0.824
dcw_0996,medical diagnosis,"Because policy text and transaction records both support colon cancer, and the alternative a viral infection is considered, the conclusion is cautiously accepted.",grounded,qualified_conclusion,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.085,0.974,0.749,0.14,0.153,0.479,0.529,0.303
dcw_0831,travel planning,"Because observed symptoms and prior measurements both support weather-related risk, and the alternative permit requirement is considered, the conclusion is cautiously accepted.",grounded,contrast_preservation,"{""root"": ""Qualified Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.14,0.56,0.669,0.215,0.069,0.61,0.291,0.101
dcw_0395,scientific explanation,"experimental artifact is asserted as the central conclusion, while the available evidence is only a vague symptom.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.638,0.237,0.273,0.895,0.598,0.046,0.297,0.855
dcw_0436,scientific explanation,The reasoning jumps from a superficial similarity to experimental artifact. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.734,0.066,0.036,0.668,0.809,0.499,0.129,0.858
dcw_0178,consumer dispute,"Although a timing inconsistency could be relevant, it is ignored. Since a weak correlation appears, settlement eligibility must be true.",hallucinated,premature_closure,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.588,0.036,0.322,0.988,0.578,0.18,0.205,0.893
dcw_0420,legal complaint,one anecdotal report is mentioned. This clearly proves valid small-claims escalation. Therefore the conclusion is certain.,hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.646,0.119,0.104,0.808,0.902,0.344,0.117,0.873
dcw_0985,technical troubleshooting,"transaction records suggests SSL certificate problem, but a contradictory observation weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.315,0.847,0.49,0.299,0.084,0.555,0.813,0.401
dcw_0797,travel planning,"The claim is supported by transaction records. However, route safety remains possible, so the conclusion is qualified.",grounded,defeater_preservation,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.056,0.715,0.354,0.535,0.439,0.988,0.504,0.088
dcw_0061,medical diagnosis,"gout is asserted as the central conclusion, while the available evidence is only a weak correlation.",hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.774,0.407,0.1,0.909,0.804,0.194,0.078,0.829
dcw_0156,scientific explanation,"measurement bias is asserted as the central conclusion, while the available evidence is only a single ambiguous clue.",hallucinated,weak_evidence_amplification,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.961,0.049,0.087,0.849,0.583,0.337,0.197,0.84
dcw_0539,financial reasoning,"retrieved documents suggests high-risk investment, but a known confounder weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.194,0.857,0.766,0.192,0.423,0.968,0.559,0.362
dcw_0853,travel planning,"Because prior measurements and log messages both support route safety, and the alternative weather-related risk is considered, the conclusion is cautiously accepted.",grounded,defeater_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Defeater""}]}",0.324,0.654,0.445,0.269,0.246,0.86,0.398,0.094
dcw_0739,technical troubleshooting,The explanation preserves the contrast between SSL certificate problem and database schema mismatch. The final conclusion follows only after weighing both.,grounded,evidence_integration,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.149,0.86,0.468,0.294,0.164,0.882,0.887,0.292
dcw_0369,technical troubleshooting,"a superficial similarity suggests a possibility, so the explanation concludes database schema mismatch without considering alternatives.",hallucinated,defeater_suppression,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.934,0.153,0.294,0.892,0.645,0.112,0.068,0.985
dcw_0936,travel planning,"retrieved documents suggests weather-related risk, but missing evidence weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.166,0.718,0.892,0.081,0.398,0.582,0.643,0.526
dcw_0342,medical diagnosis,"appendicitis is asserted as the central conclusion, while the available evidence is only a superficial similarity.",hallucinated,unsupported_nucleus_promotion,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.837,0.094,0.07,0.679,0.766,0.425,0.235,0.673
dcw_0217,travel planning,"weather-related risk is asserted as the central conclusion, while the available evidence is only a weak correlation.",hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.847,0.306,0.252,0.845,0.999,0.143,0.051,0.725
dcw_0174,travel planning,"Although an alternative explanation could be relevant, it is ignored. Since a weak correlation appears, permit requirement must be true.",hallucinated,contradiction_omission,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.708,0.096,0.092,0.964,0.808,0.243,0.076,0.953
dcw_0874,travel planning,"observed symptoms suggests permit requirement, but missing evidence weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,consistent_abduction,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Cause""}, {""role"": ""Nucleus"", ""relation"": ""Condition""}]}",0.297,0.655,0.432,0.359,0.134,0.469,0.328,0.078
dcw_0529,financial reasoning,"Because policy text and policy text both support expense misclassification, and the alternative portfolio concentration risk is considered, the conclusion is cautiously accepted.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.196,0.953,0.632,0.225,0.017,0.957,0.5,0.311
dcw_0262,scientific explanation,The reasoning jumps from an unverified assumption to causal mechanism. No competing explanation is discussed.,hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.918,0.155,0.277,0.949,0.503,0.485,0.054,0.653
dcw_0410,consumer dispute,The reasoning jumps from an unverified assumption to misrepresentation. No competing explanation is discussed.,hallucinated,defeater_suppression,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.993,0.193,0.3,0.953,0.901,0.516,0.045,0.556
dcw_0633,medical diagnosis,"Because transaction records and observed symptoms both support colon cancer, and the alternative a viral infection is considered, the conclusion is cautiously accepted.",grounded,qualified_conclusion,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.29,0.574,0.307,0.398,0.366,0.899,0.599,0.003
dcw_0285,medical diagnosis,"Although a known confounder could be relevant, it is ignored. Since an unverified assumption appears, gout must be true.",hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.913,0.152,0.221,0.807,0.924,0.039,0.057,0.653
dcw_0404,financial reasoning,a vague symptom is mentioned. This clearly proves high-risk investment. Therefore the conclusion is certain.,hallucinated,weak_evidence_amplification,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.707,0.311,0.049,0.749,0.994,0.288,0.34,0.627
dcw_0847,consumer dispute,"Because log messages and observed symptoms both support misrepresentation, and the alternative refund entitlement is considered, the conclusion is cautiously accepted.",grounded,contrast_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.358,0.463,0.334,0.419,0.109,0.547,0.292,0.315
dcw_0524,scientific explanation,"Because witness statements and retrieved documents both support measurement bias, and the alternative causal mechanism is considered, the conclusion is cautiously accepted.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.097,0.897,0.839,0.366,0.112,0.828,0.718,0.334
dcw_0227,medical diagnosis,"a medication side effect is asserted as the central conclusion, while the available evidence is only a vague symptom.",hallucinated,weak_evidence_amplification,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.9,0.374,0.341,0.711,0.705,0.088,0.192,0.96
dcw_0276,consumer dispute,The reasoning jumps from a single ambiguous clue to settlement eligibility. No competing explanation is discussed.,hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.938,0.217,0.09,0.722,0.894,0.121,0.245,0.91
dcw_0231,travel planning,The reasoning jumps from a vague symptom to route safety. No competing explanation is discussed.,hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.855,0.082,0.047,0.711,0.514,0.376,0.293,0.988
dcw_0213,technical troubleshooting,a weak correlation is mentioned. This clearly proves database schema mismatch. Therefore the conclusion is certain.,hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.564,0.168,0.073,0.63,0.935,0.323,0.122,0.624
dcw_0260,financial reasoning,"Although a timing inconsistency could be relevant, it is ignored. Since one anecdotal report appears, income stability must be true.",hallucinated,contradiction_omission,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Omitted"", ""relation"": ""Contrast""}]}",0.879,0.423,0.005,0.893,0.616,0.145,0.082,0.851
dcw_0337,financial reasoning,The reasoning jumps from a single ambiguous clue to income stability. No competing explanation is discussed.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.841,0.217,0.22,0.951,0.768,0.184,0.274,0.736
dcw_0619,consumer dispute,"prior measurements suggests misrepresentation, but missing evidence weakens a stronger conclusion. Therefore, the answer should remain tentative.",grounded,contrast_preservation,"{""root"": ""Evidence-Based Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Nucleus"", ""relation"": ""Contrast""}]}",0.047,0.767,0.505,0.419,0.412,0.911,0.353,0.177
dcw_0214,travel planning,"route safety is asserted as the central conclusion, while the available evidence is only an unverified assumption.",hallucinated,defeater_suppression,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Cause""}, {""role"": ""Suppressed"", ""relation"": ""Defeater""}]}",0.936,0.291,0.237,0.671,0.705,0.011,0.096,0.895
dcw_0220,consumer dispute,a weak correlation is mentioned. This clearly proves refund entitlement. Therefore the conclusion is certain.,hallucinated,unsupported_nucleus_promotion,"{""root"": ""Premature Closure"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Weak Evidence""}, {""role"": ""Satellite"", ""relation"": ""Elaboration""}]}",0.95,0.225,0.304,0.722,0.649,0.03,0.299,0.612
dcw_0472,financial reasoning,The reasoning jumps from a weak correlation to income stability. No competing explanation is discussed.,hallucinated,premature_closure,"{""root"": ""Overstated Conclusion"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.752,0.39,0.114,0.91,0.832,0.225,0.081,0.728
dcw_0071,financial reasoning,The reasoning jumps from a vague symptom to portfolio concentration risk. No competing explanation is discussed.,hallucinated,premature_closure,"{""root"": ""Unsupported Nucleus"", ""children"": [{""role"": ""Satellite"", ""relation"": ""Background""}, {""role"": ""Nucleus"", ""relation"": ""Result""}]}",0.955,0.145,0.052,0.607,0.812,0.322,0.249,0.721
dcw_0844,technical troubleshooting,"Because observed symptoms and prior measurements both support SSL certificate problem, and the alternative OAuth token failure is considered, the conclusion is cautiously accepted.",grounded,evidence_integration,"{""root"": ""Stable Abductive Conclusion"", ""children"": [{""role"": ""Nucleus"", ""relation"": ""Evidence""}, {""role"": ""Satellite"", ""relation"": ""Justification""}]}",0.077,0.754,0.588,0.504,0.22,0.948,0.284,0.131
